,Property Name,Borough,yb,ppt,Property Type,Occupancy,seui,ngu,eu,tge,wu
33721,43-10 48th Avenue - 36322,Queens,1931,Multifamily Housing,Multifamily,100,119.0,24384312.42738699,6633037.5,2993.1,16217.966089617938
33722,48-01 42nd Street - 36323,Queens,1937,Multifamily Housing,Multifamily,100,99.6,24384312.42738699,3204437.7,1435.6,16217.966089617938
33723,29190-Long Island City/Northern Blvd,Queens,2004,Distribution Center,Other,100,38.6,482100.0,799257.6,91.9,6.0
33724,WIN DEPOT,Queens,1982,Retail Store,Retail,100,112.7,2006757.0,1309695.2,215.2,287.9
33725,Robert Zirinsky: 39-15 Skillman Ave,Queens,1965,Distribution Center,Other,100,130.1,6732900.3,5408824.9,806.2,16217.966089617938
33726,10170 - General Motors Worldwide,Queens,1991,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Other,100,155.5,5816920.3,2156384.0,487.8,685.3
33727,Norcor - 41-41 41st Street,Queens,1936,Multifamily Housing,Multifamily,100,105.4,4681731.3,1025625.3,333.7,4035.0
33728,M&&L: 41-08 42 St,Queens,1937,Multifamily Housing,Multifamily,100,102.5,3593499.6,832790.7,357.2,38539.7
33729,42nd Street Realty Associates LLC,Queens,1937,Multifamily Housing,Multifamily,80,112.4,464500.0,810602.4,383.2,16217.966089617938
33730,Norcor - 41-42 42nd Street,Queens,1931,Multifamily Housing,Multifamily,100,109.7,5210301.0,953629.6,355.8,4787.5
33731,41-09 41st Street,Queens,1938,Multifamily Housing,Multifamily,100,223.7,5171489.8,1589637.1,406.5,2622.7
33732,41-11 40th Street - 32498,Queens,1941,Multifamily Housing,Multifamily,100,145.9,520234.9,1209605.4,663.4,8518.0
33733,41-12 41st Street,Queens,1941,Multifamily Housing,Multifamily,100,223.7,8769000.1,2695480.1,689.3,5293.6
33734,SUPERIOR: 41-43 39 Place,Queens,1939,Multifamily Housing,Multifamily,100,125.9,8169100.0,1197093.4,533.2,4419.7
33735,41-00 43 Ave - 33830,Queens,1932,Multifamily Housing,Multifamily,100,109.3,6631861.8,1158896.7,448.4,4806.2
33736,A&E - 43-23 40th Street,Queens,1930,Multifamily Housing,Multifamily,100,163.4,2116445.4,691867.0,478.4,4099.3
33737,ALJO Realty LLC,Queens,1932,Multifamily Housing,Multifamily,100,125.6,5044954.4,981242.5,349.3,3350.7
33738,New City: 43-08 41st St,Queens,1937,Multifamily Housing,Multifamily,100,92.9,210000.0,586560.3,307.5,1847.8
33739,ADI: 43-07 39th Place,Queens,1954,Multifamily Housing,Multifamily,100,94.2,3869300.0,821387.8,273.6,2385.4
33740,A&E - 43-08 40th Street,Queens,1931,Multifamily Housing,Multifamily,100,121.2,2131120.0,828033.0,302.1,16217.966089617938
33741,Century - 41-02 Queens Boulevard,Queens,2006,Multifamily Housing,Multifamily,100,171.4,2146959.3,2203042.3,296.7,1340.1
33742,Sunnyside 45-42 LLC,Queens,1939,Multifamily Housing,Multifamily,100,126.4,6024524.7,777714.5,384.5,16217.966089617938
33743,SLJ- 45-41 39 Place,Queens,1940,Multifamily Housing,Multifamily,100,113.2,5352240.1,806542.2,351.2,5838.2
