,Property Name,Borough,yb,ppt,Property Type,Occupancy,seui,ngu,eu,tge,wu
29275,Fort Wash Capital LLC (38),Manhattan,1950,Multifamily Housing,Multifamily,100,253.6,241096.3,783205.2,869.8,1372.0
29276,"GVS Properties II, LLC/600W163St",Manhattan,1950,Multifamily Housing,Multifamily,100,115.4,1773431.9,2044275.8,263.7,7209.7
29277,86 Fort Washington Ave,Manhattan,1930,Multifamily Housing,Multifamily,100,149.0,6124199.9,1284751.1,452.4,8527.4
29278,"163 Broadway Associates, LLC",Manhattan,1930,Multifamily Housing,Multifamily,100,130.8,200075.8,1237293.2,468.6,5786.9
29279,100 Fort Washington Avenue,Manhattan,1930,Multifamily Housing,Multifamily,100,104.2,274233.5,796864.2,554.9,5415.1
29280,106 Fort Washington Ave.,Manhattan,1920,Multifamily Housing,Multifamily,100,136.0,399500.0,1111107.5,554.0,10956.6
29281,"GVS Properties II, LLC/600W164St",Manhattan,1920,Multifamily Housing,Multifamily,100,245.7,3158850.7,1305074.7,801.5,4312.6
29282,3921 Broadway - 20313,Manhattan,1915,Multifamily Housing,Multifamily,100,114.9,24384312.42738699,2627070.7,217.9,16217.966089617938
29283,609 W 164 St - 20314,Manhattan,1930,Multifamily Housing,Multifamily,100,131.8,24384312.42738699,2312566.2,191.8,4309.6
29284,625 W 164 St - 20315,Manhattan,1930,Multifamily Housing,Multifamily,100,123.2,24384312.42738699,2147864.5,178.1,16217.966089617938
29285,128 Fort Washington Avenue,Manhattan,1925,Multifamily Housing,Multifamily,100,138.8,532628.0,1950053.9,974.8,16217.966089617938
29286,"Morap,LLC",Manhattan,1924,Multifamily Housing,Multifamily,100,106.8,3815600.0,1797881.0,634.7,8966.2
29287,3931 Broadway - 20316,Manhattan,1930,Multifamily Housing,Multifamily,100,198.3,24384312.42738699,4622541.1,383.4,4589.2
29288,NYP Columbia (West Campus),Manhattan,1969,Hospital (General Medical & Surgical),Hospitality,100,406.8,877948186.0,324217670.7,55643.5,16217.966089617938
29289,Georgian,Manhattan,1914,Office,Office,100,200.4,24384312.42738699,1848886.7,912.9,3981.4
29290,600 W 169 St - 20321,Manhattan,1915,Multifamily Housing,Multifamily,100,105.9,24384312.42738699,2407232.0,199.6,7954.0
29291,Sirkin: 601 West 168th St,Manhattan,1909,Medical Office,Office,100,251.3,2061600.0,4099818.3,613.4,16217.966089617938
29292,238 Fort Washington Ave.,Manhattan,1920,Multifamily Housing,Multifamily,100,126.0,216692.0,1068249.3,432.5,5482.4
29293,624 W 170 St - 20330,Manhattan,1924,Multifamily Housing,Multifamily,100,138.1,24384312.42738699,2327865.2,193.1,4022.6
29294,614 W 170 St - 20329,Manhattan,1920,Multifamily Housing,Multifamily,100,89.3,24384312.42738699,1759826.1,145.9,3512.8
29295,625 W 169 St - 20326,Manhattan,1920,Multifamily Housing,Multifamily,100,63.9,1278017.0,736609.0,129.0,2870.0
29296,Hammer Health Sciences Center,Manhattan,1976,Office,Office,100,1003.7,27642.0,52043651.8,13290.7,51922.5
29297,241 Ft Washington - 20337,Manhattan,1920,Multifamily Housing,Multifamily,100,86.0,24384312.42738699,2163447.7,179.4,3277.1
29298,708 W 171,Manhattan,1929,Multifamily Housing,Multifamily,100,92.8,3818316.2,562038.0,249.4,4583.2
29299,251 Ft Washington Avenue - 42969,Manhattan,1912,Multifamily Housing,Multifamily,100,117.3,24384312.42738699,788749.8,392.1,16217.966089617938
29300,Stellar - 105 Haven Avenue,Manhattan,1925,Multifamily Housing,Multifamily,100,125.7,4566867.8,818619.7,310.5,9020.6
29301,Bard Hall,Manhattan,1929,Office,Office,100,152.5,1371047.0,4084257.2,1317.4,11333.1
29302,70 Haven Avenue,Manhattan,1925,Multifamily Housing,Multifamily,100,50.3,1379457.7,595788.7,143.2,951.5
29303,Tower 1,Manhattan,1973,Office,Office,100,160.3,366488.8,7556290.1,2040.8,16217.966089617938
29304,"Towers 2,3",Manhattan,1973,Office,Office,100,148.2,6284210.2,9834842.8,3641.7,16217.966089617938
29305,154 Haven Dormitory,Manhattan,1970,Office,Office,100,165.7,58887.1,2963063.9,589.7,2107.6
29306,Rudd - 200 Haven Ave,Manhattan,1941,Multifamily Housing,Multifamily,100,122.8,24384312.42738699,1682216.6,910.6,4896.6
29307,A&E - 227 Haven,Manhattan,1924,Multifamily Housing,Multifamily,100,139.9,7142631.8,785047.8,444.5,16217.966089617938
29308,4 South Pinehurst Ave,Manhattan,1925,Multifamily Housing,Multifamily,100,114.1,170100.0,750817.4,390.8,4220.5
29309,371 Ft. Washington Ave.,Manhattan,1924,Multifamily Housing,Multifamily,100,103.9,5073512.6,959274.6,361.0,3157.5
29310,359 Ft Washington,Manhattan,1923,Multifamily Housing,Multifamily,100,101.8,5155377.4,928851.5,350.9,16217.966089617938
29311,Park Pinehurst,Manhattan,1927,Multifamily Housing,Multifamily,100,84.1,4458494.5,169265.6,250.9,3762.4
29312,A&E - 217 Haven,Manhattan,1920,Multifamily Housing,Multifamily,100,113.4,4824332.3,723392.2,316.2,3782.2
29313,850 West 176th Street,Manhattan,1920,Multifamily Housing,Multifamily,100,105.5,363654.8,616692.7,315.0,4928.2
